power_output,radiation,time
0,0.3,1534712400.0
0,0.2,1534712700.0
0,0.3,1534713000.0
0,0.3,1534713300.0
0,0.2,1534713600.0
0,0.2,1534713900.0
0,0.2,1534714200.0
0,0.2,1534714500.0
0,0.2,1534714800.0
0,0.2,1534715100.0
0,0.2,1534715400.0
0,0.3,1534715700.0
0,0.2,1534716000.0
0,0.2,1534716300.0
0,0.3,1534716600.0
0,0.2,1534716900.0
0,0.2,1534717200.0
0,0.3,1534717500.0
0,0.3,1534717800.0
0,0.3,1534718100.0
0,0.2,1534718400.0
0,0.2,1534718700.0
0,0.2,1534719000.0
0,0.2,1534719300.0
0,0.1,1534719600.0
0,0.2,1534719900.0
0,0.1,1534720200.0
0,0.1,1534720500.0
0,0.1,1534720800.0
0,0.1,1534721100.0
0,0.1,1534721400.0
0,0.1,1534721700.0
0,0.1,1534722000.0
0,0.1,1534722300.0
0,0.0,1534722600.0
0,0.1,1534722900.0
0,0.1,1534723200.0
0,0.0,1534723500.0
0,0.0,1534723800.0
0,0.1,1534724100.0
0,0.0,1534724400.0
0,0.0,1534724700.0
0,0.0,1534725000.0
0,0.0,1534725300.0
0,0.1,1534725600.0
0,0.0,1534725900.0
0,0.0,1534726200.0
0,0.1,1534726500.0
0,0.0,1534726800.0
0,0.0,1534727100.0
0,0.1,1534727400.0
0,0.0,1534727700.0
0,0.0,1534728000.0
0,0.0,1534728300.0
0,0.1,1534728600.0
0,0.0,1534728900.0
0,0.1,1534729200.0
0,0.0,1534729500.0
0,0.1,1534729800.0
0,0.0,1534730100.0
0,0.1,1534730400.0
0,0.1,1534730700.0
0,0.0,1534731000.0
0,0.0,1534731300.0
0,0.0,1534731600.0
0,0.1,1534731900.0
0,0.0,1534732200.0
0,0.0,1534732500.0
0,0.0,1534732800.0
0,0.0,1534733100.0
0,0.0,1534733400.0
0,0.0,1534733700.0
0,0.2,1534734000.0
0,0.5,1534734300.0
1,0.7,1534734600.0
35,0.11,1534734900.0
186,0.15,1534735200.0
326,0.18,1534735500.0
458,0.21,1534735800.0
689,0.25,1534736100.0
983,0.28,1534736400.0
1305,0.32,1534736700.0
1675,0.55,1534737000.0
2128,0.89,1534737300.0
2738,1.6,1534737600.0
3284,1.2,1534737900.0
3818,1.35,1534738200.0
4418,1.51,1534738500.0
5078,1.68,1534738800.0
5699,1.84,1534739100.0
6351,2.3,1534739400.0
7032,2.21,1534739700.0
7758,2.39,1534740000.0
8522,2.6,1534740300.0
9287,2.78,1534740600.0
10100,2.98,1534740900.0
10879,3.16,1534741200.0
11703,3.38,1534741500.0
12490,3.56,1534741800.0
13326,3.76,1534742100.0
14165,3.96,1534742400.0
15010,4.18,1534742700.0
