time,cloudCover,dewPoint,humidity,temperature,pressure,windBearing,windSpeed,power
1521061200,0.38,37.61,0.79,42.42,1011.0,238.0,3.03,0
1521061500,0.38,37.57,0.79,43.59,1010.9,237.0,2.99,0
1521061800,0.39,37.53,0.79,43.56,1010.9,236.0,2.95,0
1521062100,0.39,37.49,0.79,43.53,1010.9,234.0,2.91,0
1521062400,0.4,37.45,0.79,43.51,1010.9,233.0,2.87,0
1521062700,0.4,37.41,0.79,43.48,1010.9,232.0,2.84,0
1521063000,0.41,37.37,0.79,43.46,1010.9,231.0,2.8,0
1521063300,0.41,37.33,0.79,43.43,1010.9,229.0,2.77,0
1521063600,0.42,37.29,0.79,43.4,1010.9,228.0,2.74,0
1521063900,0.42,37.25,0.79,43.38,1010.8,226.0,2.71,0
1521064200,0.43,37.22,0.79,43.35,1010.8,225.0,2.68,0
1521064500,0.43,37.18,0.79,43.33,1010.8,224.0,2.65,0
1521064800,0.44,37.14,0.79,43.3,1010.8,222.0,2.62,0
1521065100,0.44,37.13,0.79,43.26,1010.8,222.0,2.6,0
1521065400,0.44,37.12,0.79,43.22,1010.9,222.0,2.58,0
1521065700,0.44,37.11,0.79,43.18,1010.9,222.0,2.56,0
1521066000,0.44,37.1,0.79,43.14,1010.9,222.0,2.54,0
1521066300,0.44,37.09,0.79,43.1,1011.0,222.0,2.52,0
1521066600,0.44,37.08,0.79,43.06,1011.0,222.0,2.5,0
1521066900,0.44,37.06,0.79,43.02,1011.0,222.0,2.48,0
1521067200,0.44,37.05,0.79,42.98,1011.1,221.0,2.46,0
1521067500,0.44,37.04,0.8,42.93,1011.1,221.0,2.44,0
1521067800,0.44,37.03,0.8,42.89,1011.1,221.0,2.42,0
1521068100,0.44,37.02,0.8,42.85,1011.2,221.0,2.4,0
1521068400,0.44,37.01,0.8,42.81,1011.2,221.0,2.38,0
1521068700,0.44,36.95,0.8,42.69,1011.2,220.0,2.23,0
1521069000,0.45,36.9,0.8,42.57,1011.2,219.0,2.08,0
1521069300,0.45,36.84,0.8,42.45,1011.1,218.0,1.93,0
1521069600,0.45,36.78,0.81,42.32,1011.1,216.0,1.78,0
1521069900,0.46,36.72,0.81,42.2,1011.1,214.0,1.64,0
1521070200,0.46,36.66,0.81,42.08,1011.1,212.0,1.49,0
1521070500,0.46,36.6,0.81,41.96,1011.1,209.0,1.35,0
1521070800,0.47,36.54,0.81,41.84,1011.0,206.0,1.21,0
1521071100,0.47,36.48,0.82,41.72,1011.0,201.0,1.08,0
1521071400,0.48,36.42,0.82,41.59,1011.0,196.0,0.96,0
1521071700,0.48,36.36,0.82,41.47,1011.0,189.0,0.84,0
1521072000,0.48,36.3,0.82,41.35,1010.9,180.0,0.75,0
1521072300,0.49,36.28,0.82,41.3,1010.9,187.0,0.77,0
1521072600,0.5,36.25,0.82,41.26,1010.8,193.0,0.81,0
1521072900,0.5,36.22,0.82,41.21,1010.8,198.0,0.85,0
1521073200,0.51,36.19,0.82,41.17,1010.7,203.0,0.9,0
1521073500,0.52,36.17,0.82,41.12,1010.6,207.0,0.96,0
1521073800,0.53,36.14,0.82,41.07,1010.6,211.0,1.02,0
1521074100,0.53,36.11,0.82,41.03,1010.5,214.0,1.08,0
1521074400,0.54,36.09,0.83,40.98,1010.4,217.0,1.15,0
1521074700,0.55,36.06,0.83,40.94,1010.4,220.0,1.22,0
1521075000,0.56,36.03,0.83,40.89,1010.3,223.0,1.3,0
1521075300,0.56,36.01,0.83,40.84,1010.3,225.0,1.37,0
1521075600,0.57,35.98,0.83,40.8,1010.2,227.0,1.45,0
1521075900,0.57,36.0,0.83,40.67,1010.2,227.0,1.37,0
1521076200,0.57,36.02,0.84,40.54,1010.2,227.0,1.3,0
1521076500,0.57,36.05,0.84,40.41,1010.2,228.0,1.22,0
1521076800,0.57,36.06,0.85,40.28,1010.2,229.0,1.15,0
1521077100,0.57,36.08,0.85,40.15,1010.2,229.0,1.07,0
1521077400,0.57,36.1,0.86,40.02,1010.3,230.0,1.0,0
1521077700,0.57,36.12,0.86,39.89,1010.3,231.0,0.92,0
1521078000,0.57,36.14,0.87,39.77,1010.3,232.0,0.85,0
1521078300,0.57,36.15,0.87,39.64,1010.3,234.0,0.77,0
1521078600,0.57,36.17,0.88,39.51,1010.3,235.0,0.7,0
1521078900,0.57,36.18,0.88,39.38,1010.3,237.0,0.63,0
1521079200,0.57,36.19,0.89,39.25,1010.3,240.0,0.55,0
1521079500,0.57,36.18,0.88,39.37,1010.4,225.0,0.61,0
1521079800,0.57,36.16,0.88,39.49,1010.4,213.0,0.7,0
1521080100,0.57,36.14,0.87,39.6,1010.5,205.0,0.81,0
1521080400,0.57,36.12,0.87,39.72,1010.5,198.0,0.93,0
1521080700,0.57,36.1,0.86,39.84,1010.6,193.0,1.06,0
1521081000,0.57,36.08,0.86,39.96,1010.7,189.0,1.21,0
1521081300,0.56,36.06,0.85,40.08,1010.7,186.0,1.35,0
1521081600,0.56,36.04,0.85,40.19,1010.8,184.0,1.5,0
1521081900,0.56,36.02,0.85,40.31,1010.8,182.0,1.65,0
1521082200,0.56,36.0,0.84,40.43,1010.9,180.0,1.8,0
1521082500,0.56,35.97,0.84,40.55,1010.9,178.0,1.95,0
1521082800,0.56,35.95,0.83,40.67,1011.0,177.0,2.11,0
1521083100,0.58,36.07,0.83,40.74,1011.0,178.0,1.95,0
1521083400,0.59,36.19,0.83,40.82,1011.0,179.0,1.79,0
1521083700,0.61,36.31,0.84,40.89,1010.9,180.0,1.63,0
1521084000,0.62,36.43,0.84,40.97,1010.9,181.0,1.47,0
1521084300,0.64,36.55,0.84,41.04,1010.9,182.0,1.31,0
